Time,Boost pressure bar
0.0000,0.01
0.1200,0.01
0.2560,0.01
0.3870,0.01
0.6040,0.01
0.7520,0.01
0.8670,0.01
0.9810,0.01
1.1000,0.01
1.2140,0.01
1.3300,0.01
1.4640,0.01
1.5770,0.01
1.6980,0.01
1.9260,0.01
2.0740,0.01
2.1930,0.01
2.3420,0.01
2.4560,0.01
2.5710,0.01
2.6890,0.01
2.8230,0.01
2.9360,0.01
3.1220,0.01
3.2690,0.01
3.3850,0.01
3.6170,0.01
3.7830,0.01
3.9130,0.01
4.0330,0.01
4.1480,0.01
4.2800,0.01
4.4260,0.01
4.5430,0.01
4.6890,0.01
4.8560,0.01
5.0070,0.01
5.1540,0.01
5.2860,0.01
5.4040,0.01
