Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,0.00,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,0.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,7101.00,0.00,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,0.00
0.0000,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.02,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,836.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,832.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,832.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,832.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,832.00,30.23,7101.00,0.01,129040.00
0.4050,29.00,23.00,27.00,0.03,10.36,0.00,0.00,832.00,30.23,7101.00,0.01,129040.00
0.8010,29.00,23.00,27.00,0.03,10.36,0.00,0.00,832.00,30.23,7101.00,0.01,129040.00
