Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,0.00,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,0.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.00,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,0.00
0.0000,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,832.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7194.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.4300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.8300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.8300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.8300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.8300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.8300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
0.8300,33.00,65.00,26.00,0.00,10.36,0.00,0.00,834.00,30.23,7195.00,0.01,129040.00
