Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,236.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,236.00,82.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,236.00,82.00,0.35,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,236.00,82.00,0.35,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.00,0.00,0.00,0.00,0.00
0.0010,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,0.00,0.00,0.00
0.0010,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,0.00,0.00,0.00
0.0010,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,0.00,0.00
0.0010,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,0.00
0.0010,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29813.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.3170,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,828.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
0.6520,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
1.0100,86.00,236.00,82.00,0.35,22.22,0.00,830.00,0.01,0.00,30.27,29814.00,128880.00
