Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.00,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,0.00,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,0.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,0.00
0.0000,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.3190,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12172.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
0.6640,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,177.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.0280,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,832.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.3760,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,830.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12173.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
1.7070,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,828.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.1360,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12174.00,125960.00
2.4660,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.4670,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,831.00,0.01,0.00,31.01,12175.00,125960.00
2.7800,79.00,176.00,48.00,0.04,13.31,0.00,829.00,0.01,0.00,31.01,12175.00,125960.00
