Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km,Control deviation of the EGR rate,Duty cycle - EGR cooler bypass %,EGR valve - target position %,EGR valve - output duty cycle %
0.0000,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.00,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,0.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,0.00
0.0000,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,832.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.70,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.02,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.02,0.00,35.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.02,0.00,34.00,12.00
0.4340,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.02,0.00,34.00,9.00
0.8970,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.02,0.00,34.00,9.00
0.8970,86.00,166.00,80.00,0.00,12.63,0.00,828.00,0.01,0.00,31.77,7237.00,122880.00,0.02,0.00,34.00,9.00
