Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Differential pressure across DPF bar,Engine speed rpm,Current engine torque Nm,Current speed of the turbocharger rpm,Regeneration requested,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Control deviation of the EGR rate,Duty cycle - EGR cooler bypass %,EGR valve - target position %,EGR valve - output duty cycle %,Tank level - fuel l,Fuel temperature  C,Amount of fuel consumed ul,Fuel feed pressure - filtered bar,Calculated load value (OBD PID 04) %,Ratio of current torque to maximum torque %,Wheel torque ratio %,Setpoint internal torque Nm,Requested wheel torque after filtering Nm,Gear,Current recalculated internal engine torque Nm
0.0000,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,12.00,45.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,12.00,45.99,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,12.00,45.99,25.00,179.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,12.00,45.99,25.00,179.64,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,183.00,76.00,0.04,9.05,0.01,1076.00,-6.17,39467.00,0.00,0.00,32.55,2971.00,0.00,0.00,18.00,12.00,45.99,25.00,179.64,3.95,12.00,0.00,0.00,0.00,0.00,0.00,0.00
